date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-05-30,0.8869985199516728,0.2246481223798848,1.082405985322208,0.9451594209653481,0.9387887567510249,0.9767918841053239,0.9161905376417367,1.3043172810724284,1.4222664111104708,0.7283228606670767,0.7200272071217017,0.056986297549787686,0.4846720871569276,1.104367538682363,1.0384581261271766,1.0425711946264076,0.23541329681254478,0.7363683622026411,1.2443007751874167,0.7138412355798222,1.254266357612095,1.0948745947733145,0.5553710477952375,1.1041104758851572,1.1963914519553671,0.5745275346121447,0.32829650853397263,1.1457564845621522,0.7566947989067065,0.6923404890660215,0.9757991501808345,0.8612846346371591,0.8955426137600299,1.0364188057421313,0.740512070481199,0.6991285020925438,0.48146963044111063,0.3499035623170039,0.8184427317226424,1.2631743154555457,0.7901510355564421,1.0685091108103313,0.9048636372486766,0.7488901416992687,0.9783824595909401,0.12074937952875882,1.1349475161188078,0.6232799593032744,0.2884354099416995,0.9538741656954934,0.34637397842876017
2020-05-31,1.1182447579445174,0.6806697993159306,1.0236381416127744,0.9516366355370253,0.933349360464481,0.772756696497698,0.777274701846205,0.945740885469017,1.1118827800705369,0.6500641431660372,0.8910005822827997,0.029427166821431545,0.2684039398051691,1.0478892735398433,0.8094292633056671,1.0007554187068204,0.31432741750871657,0.32592631018487367,0.9159118453826482,0.6237836822539932,1.147987342189364,1.0264877570060345,0.7835089071194112,1.1047172175790019,1.005137359716545,0.592982747944136,0.2880987133072942,1.0469649298645565,0.6595161674763795,0.9468700954040318,1.01140785426509,0.6137355764731721,0.8167852763167676,0.9957520205402351,0.6069612135226803,0.7072196269400917,0.5096335417212076,0.37677692017633085,0.6380190609989685,1.0517866157730669,1.0076115385762663,0.6775559770814726,0.5185159345365542,0.8127415048419904,0.9911947104489597,0.21512624228003147,1.1032007622567066,0.5566318182748606,0.3353928455709509,0.5915936573444575,0.27219105297111634
2020-06-01,1.1107377856841245,0.28968304616196544,0.5593041050505126,0.8627697989074189,0.8667581732909782,0.65330231286607,1.2046472621814983,1.0798150368857304,0.9522584292929024,0.6159144240514496,0.8862102356253295,0.0,0.6044319125280602,0.9750994510471,0.681800114050974,0.8004094915883357,0.9399882448632685,0.7606250589085916,1.0087903294923464,0.445438044891993,1.0221663849297824,1.7534691085147602,1.0722328805382386,0.8669290762392913,0.973818224625369,0.6705471985791291,0.13878594368068345,1.134362386683437,0.5299561616071505,0.5462274725408108,0.7949360371692156,0.7999747255068108,0.760249513577246,0.8787463365535205,0.8666188364329542,0.7013501642150745,0.43140924686442217,0.38537746408511375,0.701024475108675,0.8409720972647934,0.8221489769015322,0.753645941958196,0.8478755497303062,0.6863288492049912,0.8594667287982027,0.12074937952875882,1.0119032929488883,0.850149267127658,0.30065926979822316,0.5344694218517737,0.34637397842876017
2020-06-02,0.7669826830572645,0.5849264206518697,1.2258257509441477,1.1276189764565023,0.8530405741594086,0.6732091483887912,0.8842188356331762,0.9655498403784906,0.7094067736526665,0.5905134740774554,0.5912662557272377,0.029427166821431545,0.4047416382360568,1.125764613482724,0.8832160602375942,0.9145508618688104,0.37485095711604344,0.6088815319926193,0.9844917229911111,0.489549041752393,1.1490022912412774,0.7917943199037162,0.5380913619355866,0.8014268287732349,0.9993433559446073,0.7688578047356327,0.13878594368068345,1.169210057452674,0.7878888688730463,0.7588152167674921,0.8998923630983091,1.0687079592410607,0.8949860489120394,0.8798501461693634,0.5775584814745327,0.6159114003140753,0.6042158152688112,0.2632619761110301,0.7427700169530113,1.0933056574889368,0.7956504364862695,0.6670342275635235,1.290436887858578,0.8789210644576008,0.8852820173922834,0.2555941062381572,1.036003306382654,0.7373377263150072,0.4070339662400255,0.8943593327783127,0.12988383340005324
2020-06-03,0.42100199838038355,0.553189609646721,1.1751368629885783,0.9658665353805898,0.8355399919027037,0.7623177410223426,0.6149944024164798,0.5775059485485752,1.2895041581510733,0.8560975834632791,0.8540029651065726,0.0,0.6165742460910147,0.9593276388004376,0.9119336269546479,1.0919753100185652,0.7580357694308318,0.7345827756477522,0.966836044769241,0.608107955295096,1.1439036589411584,0.8586017087519789,0.6130737357683,0.8721392351070825,1.0462908827271256,0.6260236983566884,0.07491345755047682,1.1521356492929398,0.6031075154929202,0.6440402269433334,0.8318674455066875,0.8161325267281572,0.7959563178573658,1.0106876590919593,0.7299325143512215,0.6793826012319729,0.5874461673842959,0.3896146976820716,0.7271852523802886,1.0444638149627476,0.7510888566338754,1.072714249324819,0.9422650450450281,0.8132069758452378,1.0476771869209491,0.12074937952875882,0.9450602912647491,0.5093251503485918,0.3353928455709509,1.0992472200698065,0.18267228735580776
2020-06-04,0.7419704657867601,0.6553988032011234,0.9563293058767591,1.1090052243008317,0.8639296284071745,0.7978064218195651,0.7096155287330843,0.6532989604109867,1.1981333523909419,0.8841241409034213,0.9418912173571402,0.029427166821431545,0.6673683271177734,0.892858900745889,0.8395267572318451,1.2773776470913247,0.43893201621045813,0.8818734754760503,1.006968717636227,0.489549041752393,1.1863768693637629,0.893768895460203,0.5121487912024921,0.9117124761297768,0.9532337845886067,0.7271467024532496,0.32829650853397263,1.1457564845621522,0.8126393520127728,0.8449395266387609,0.7863717701430067,1.0487499863690686,0.7994400982156584,1.1191154413105955,0.6603941338658392,0.7151627629623378,0.5549117647962113,0.44866182265050725,0.7278194998740218,1.0407555857946833,0.9007108673954791,1.0333164528319656,0.7896011866394657,0.8582417646600687,1.0210088899117693,0.8305630474689116,1.0847393004612667,0.5978344780858799,0.3777648439251109,0.952210775273475,0.31086451521044417
2020-06-05,0.8717540054404893,0.614501114021812,1.3573971400378344,0.928530703463513,1.0014263445877463,0.739265069416559,0.8548067421642882,0.5775059485485752,1.0873498459916555,0.8526781981850965,0.9101572360954376,0.21244388353101124,0.6283863081614254,1.006365069240148,0.9229092353861185,1.1241119008628457,0.8140146736758291,0.8474004700330618,1.0051394329874537,0.5662487836796969,1.2063731159916076,0.9118848720839189,1.6658622500927447,1.1323182149981061,0.903463018587939,0.6750576888120661,0.07491345755047682,1.1630785696615282,0.8543166207030418,0.8261574652322614,0.9966414561087927,1.2110668296423972,0.7956063978546201,1.078513211134626,0.7898580557979985,0.7050278638391801,0.5392773122151439,0.5586270010588147,0.6760517621140889,1.0764857049503913,0.991378785305542,0.6451936574068015,0.8612993941338843,0.8999956804383432,1.214391718433507,0.0645578219637971,0.9508030617746998,0.9171768415375248,0.2884354099416995,0.8607207850341861,0.49018507329878214
2020-06-06,1.15890552836313,0.46192513730063606,1.233371146337672,1.2013711480971951,0.8824953697190983,0.7074917832597268,1.0404363625932644,0.9249850473441377,1.039363406768922,0.8425484020869242,0.8625641272964979,0.19336262898372997,0.4143847515833247,0.9198611867225904,0.8694276742370673,0.8555074265199408,0.2606284586835106,0.8969058193126512,1.064980619610055,0.6160165412588994,1.0928021651322877,0.9702663063140836,0.7422530030326023,1.0110211406723628,0.9949465549891685,0.5246360633652665,0.039070001141447395,0.97709234015355,0.8543166207030418,0.7698798323644886,0.8552990196452029,0.8526219663440943,0.8097268384495493,1.1582812191549805,1.0170755144584207,0.6040608002653725,0.3840184455065086,0.48737089716353277,0.7536545556297056,0.0,1.0042441744883748,1.051269159955434,0.9664451475985824,0.8519048039457878,1.2435938896121268,0.6069257184789445,1.0471128855129692,0.5949129304489559,0.2884354099416995,0.7565967468062418,0.31086451521044417
2020-06-07,1.0148401500471267,0.34623555009601487,1.3170269574920446,1.070422990225721,0.911954869316325,0.567222899447343,0.7143135239007776,1.0409127154091864,0.9979910614021037,0.8153606776787375,0.7040425754038746,0.056986297549787686,0.25484748774668486,0.8700709116787766,0.8432626765873843,0.9753347688402372,0.3214840993278086,0.24557217573487344,0.9056611907636987,0.6462848725061596,0.9602581876704533,0.7330692640462961,0.7154768686701296,0.8943492492513605,0.9499785283234379,0.8002360926707445,0.16751332616014564,0.75654535068446,0.8360550316441153,0.4435791480512183,0.602076626459389,0.8862817726644493,0.6912488012279638,0.9646990731928452,0.8425085557210737,0.6150112082484946,0.5197412965362627,0.629638327502053,0.6859347122059216,0.0,0.9175424583710277,0.9584919712087566,0.8844637964965351,0.6057773839817376,0.8976361307236217,0.5710718993056786,1.2057568338016997,0.6940726635867096,0.15947274132677275,0.7226162542417996,0.3791982314466614
2020-06-08,0.9864615700887926,0.553189609646721,1.105482444505291,1.0567610268830436,0.829761658261999,0.6234411742469068,0.6488775946637442,0.6116198424149615,0.9590939697839563,0.7429302757902022,0.8399440826864144,0.029427166821431545,0.5451526885258622,1.0981716283749856,0.6393265797054443,1.0425711946264076,0.8448622237307831,0.8969058193126512,0.7810393132153478,0.36953117722706574,0.9079098605677293,0.5746392687898554,0.5979817601777134,0.8454399426918051,1.2478703509295024,0.5838531649951932,0.10802287432081888,0.8516206430144921,0.7516904353512377,0.5641369379604148,0.6708518773054435,0.8347603643863065,0.6613054537484448,0.9927872567777186,0.5460196212971071,0.6113916642444648,0.37944231633414116,0.580904020085785,0.6395750047938208,1.299544073568809,1.0453379586096365,0.6775559770814726,0.8442246574454818,0.7634781176910374,1.0130786061671757,0.4658585604859377,0.8856833948623745,0.9044297495480481,0.2884354099416995,0.6748402650607214,0.5140047027099819
